trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.1, 'e': 0.6618592824951174}",25,0,-92.59722026302168,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
115,False,"{'a': 0.1, 'e': 0.6562185097387997}",25,7,-16.313532921633975,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
116,False,"{'a': 0.1, 'e': 0.6505408248643353}",20,8,-59.789262146642855,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
117,False,"{'a': 0.1, 'e': 0.6448265472400012}",25,16,-4.2263327699355635,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.6390759982924072}",25,0,-31.67630044867611,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
119,False,"{'a': 0.1, 'e': 0.6332895014884152}",20,0,-19.55523885618236,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
120,False,"{'a': 0.1, 'e': 0.627467382316945}",20,0,-82.17133064376276,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
121,False,"{'a': 0.1, 'e': 0.6216099682706644}",25,8,-3.04402466068901,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.1, 'e': 0.6157175888275696}",25,11,-18.29868939947114,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
123,False,"{'a': 0.1, 'e': 0.6097905754324501}",30,4,-42.16126814830179,"{0: 19, 1: 0, 2: 7, 3: 0, 4: 0}",1
124,False,"{'a': 0.1, 'e': 0.603829261478247}",20,4,-1.2941141711231312,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.1, 'e': 0.5978339822872982}",30,12,-98.9567378681978,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 2}",1
126,False,"{'a': 0.1, 'e': 0.5918050750924775}",20,0,-58.84426222972639,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
127,False,"{'a': 0.1, 'e': 0.585742879018225}",20,5,-35.51602448120853,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.5796477350614712}",20,9,-36.588945716151805,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
129,False,"{'a': 0.1, 'e': 0.5735199860724567}",25,9,-7.551729019781789,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.5673599767354465}",25,12,-54.86562625783909,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.1, 'e': 0.5611680535493414}",20,6,-42.27547510138542,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
132,False,"{'a': 0.1, 'e': 0.5549445648081882}",25,0,-35.78013741752813,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
